Name; Note; Talks
Stephane Maldini;4.75;"A lite Rx API for the JVM"
Sebastien Deleuze;4.75;"A lite Rx API for the JVM"
Jérémie Grodziski;4.7142857143;"DDD: et si on reprenait l'histoire par le bon bout ?"
Amelie Boucher;4.6842105263;"Comment concevoir la navigation sur mobile ?"
Horacio Gonzalez;4.6730769231;"Hand's on Web Components with Polymer  #  Polymer dans la vraie vie"
Antonio Goncalves;4.6375;"Just enough app server"
Youen Chéné;4.6363636364;"I'm a CTO bitch! ou Pérégrination d'un CTO"
Chris Woodrow;4.6315789474;"Développez une application "Time Series" avec Apache Spark, HBase et l'API Kakfa"
Lukas Eder;4.625;"Ten SQL Tricks that You Didn’t Think Were Possible  #  Get Back in Control of Your SQL with jOOQ"
Emile VAUGE;4.6071428571;"Traefik, a modern reverse-proxy"
Hubert SABLONNIÈRE;4.6051912567999995;"100% Stateless avec JWT (JSON Web Token)  #  Flexbox, et le CSS redevient fun !"
Christophe Porteneuve;4.6043137255;"Git ProTips (HoL)  #  ES6+ maintenant ! (conférence)"
Thomas Pierrain;4.5844155844;"DDD: et si on reprenait l'histoire par le bon bout ?  #  Pourquoi il ne suffira pas de faire du HTTP 2.0 pour faire des applications performantes..."
Audrey Neveu;4.57076374606;"Devoxx4Kids BOF: Qui, quoi, comment - partie 1  #  Faire découvrir la programmation aux enfants, un atelier à la fois  #  L'ISS en temps réel sur mon mobile en 15 mn ? Pari tenu !  #  Ionic, le framework mobile hybride carrément addictif  #  Hand's on Web Components with Polymer"
Julien Dubois;4.5517241379;"Quoi de neuf pour JHipster en 2016"
Xavier Bourguignon;4.538636363649999;"Devoxx4Kids BOF: Qui, quoi, comment - partie 1  #  Faire découvrir la programmation aux enfants, un atelier à la fois"
Emmanuel Feller;4.538636363649999;"Devoxx4Kids BOF: Qui, quoi, comment - partie 1  #  Faire découvrir la programmation aux enfants, un atelier à la fois"
Daniel De Luca;4.538636363649999;"Devoxx4Kids BOF: Qui, quoi, comment - partie 1  #  Faire découvrir la programmation aux enfants, un atelier à la fois"
Romain Colle;4.5384615385;"Comment faire tourner une JVM de 16 To, par ceux qui l'ont fait"
Antoine Chambille;4.5384615385;"Comment faire tourner une JVM de 16 To, par ceux qui l'ont fait"
Simon Brown;4.5357142857;"Modular monoliths"
Josh Long;4.52976190475;"The Bootiful Microservice  #  The Spring BOF"
Maria Khalusova;4.5102040816;"How to stop wasting your time and start performing useful code reviews"
Jordane Grenat;4.5;"Oubliez les migraines, faîtes de l'asynchrone... synchrone !"
Amira LAKHAL;4.5;"De l'IOT, des timeseries et de la prédiction avec Android, Cassandra et Spark"
Valentin Kasas;4.5;"Introduction à Scala"
Jonathan Winandy;4.5;"Introduction à Scala"
Kasia Mrowca;4.5;"How to defeat feature gluttony?"
